domain_id,name,meaning,status,table_ids
identity_source_history,Objects,Stable physical/place/logical identity separated from snapshot descriptions and source records,represented,objects;object_states
identity_source_history,SourceDocuments,Source document identity is carried by record locators; document metadata and ownership need a dedicated contract,partial,source_records
identity_source_history,SourceRevisions,Source revision identifiers occur in records and snapshots; addressable revision metadata and fingerprints remain undefined,partial,snapshots;source_records
identity_source_history,SourceObjects,Original source row locators distinguish occurrence records from definitions and metadata,represented,source_records
identity_source_history,Correspondences,Confirmed/candidate/rejected assertions relate source records to semantic identities with evidence,represented,source_links
project_place,Projects,Project-kind objects and locations exist; a dedicated project overview and project-specific fields remain undefined,partial,objects;object_states
project_place,Sites,Site-kind objects exist; site boundaries and geographical context need refinement,partial,objects;object_states
project_place,Buildings,Building-kind objects exist; readable building summaries and source-to-building mapping need refinement,partial,objects;object_states
project_place,Storeys,Storey-kind objects exist; elevations and multi-storey containment conventions remain undefined,partial,objects;object_states
project_place,Spaces,Space-kind objects and finish associations exist; space boundaries and occupancy need refinement,partial,objects;object_states;finish_schedule
project_place,Zones,Zone-kind objects exist; overlapping analytical zones need purpose and membership rules,partial,objects;object_states;relationships
project_place,SpatialMemberships,Generic containment/location/membership assertions exist; spatial scope and overlap semantics remain provisional,partial,relationships;object_states
coordinates_representations,CoordinateFrames,Declared dimensionality and parent transforms place coordinates in explicit frames,represented,coordinate_frames
coordinates_representations,Placements,Available locations carry frame-referenced points; full occurrence orientation and reusable prototype placement remain incomplete,partial,object_states;coordinate_frames
coordinates_representations,GeometryRepresentations,Addressable geometry is separated by object/purpose/frame with optional search envelopes,represented,representations;spatial_bounds
building_fabric,Walls,Wall-kind component occurrences exist; typed wall construction and opening relationships need refinement,partial,object_states;component_schedule;relationships
building_fabric,Floors,Floor-kind component occurrences exist; floor assemblies and typed floor schedules remain undefined,partial,object_states;component_schedule;finish_schedule
building_fabric,Ceilings,Ceiling-kind component occurrences exist; ceiling assemblies and typed ceiling schedules remain undefined,partial,object_states;component_schedule;finish_schedule
building_fabric,Roofs,Roof occurrences expose selected net surface and projected areas; full roof construction/specification remains incomplete,partial,object_states;roof_takeoff
building_fabric,Doors,Door schedules expose fire rating and clear width; complete door/hardware specifications remain incomplete,partial,object_states;door_schedule
building_fabric,Windows,Window-kind component occurrences exist; glazing and window performance specifications remain undefined,partial,object_states;component_schedule
building_fabric,Openings,Opening-kind objects exist; void geometry and host/portal interpretation need refinement,partial,object_states;relationships
building_fabric,Facades,Facade-kind component occurrences exist; panel/layer and thermal-envelope contracts remain undefined,partial,object_states;component_schedule
building_fabric,Stairs,Stair-kind component occurrences exist; flights/landings/rises and navigable topology remain undefined,partial,object_states;component_schedule
