id,name,domain_id,group,form,role_ids,workflow_ids,question,decision,grain,minimum_fields,relationships,tags,separate_because,merge_or_defer,impact,repeat_use,scope_cost,evidence_basis,rationale
source_revision_change,Source revision changes,identity_source_history,Change review,view,project_manager;general_contractor;estimator,planning;coordination;estimating,Which scope changed between issued models?,Select packages to review again,One proposed object change between two snapshots,object_id;before_snapshot;after_snapshot;change_kind;match_status,work_package,revision;scope;review,Change review needs before-and-after meaning beyond source row identifiers,Defer until correspondence is defensible; uncertain matches remain candidates,high,occasional,large,brainstorm,"Useful at new-delivery comparisons. The user describes data as infrequently updated, so revision comparison should not outrank every recurring query by an assumed frequent-change cadence."
space,Space,project_place,Occupancy and places,record,architect;interior_designer;facility_manager;mechanical_engineer,architectural_spaces;finish_schedule;asset_handover;mep_trace,Which spaces exist and what activities and services belong to them?,Review programs and room-based work,One bounded or explicitly scheduled space occurrence,object_id;number;name;use;storey_id;net_area;enclosure_status,storey;functional_zone;door;finish_surface,space;occupancy;handover,Room identity and room fields support many tasks,Treat room as a space use; avoid classes per room function,high,frequent,medium,workflow_scenario,Room-facing finishes and service traces need stable space references; area and enclosure require separate evidence.
storey,Storey,project_place,Occupancy and places,record,architect;general_contractor;estimator;facility_manager,architectural_spaces;planning;estimating;asset_handover,What belongs to this building level and what does its elevation mean?,Navigate and group work by level,One named building level,object_id;building_id;name;elevation;frame_id;level_role,space;floor;stair,place;level;navigation,A common grouping dimension needs elevation semantics,Use associations for multi-level objects; distinguish finish and structural levels,high,frequent,small,brainstorm,Expected frequent grouping value; existing workflows do not yet settle alternative level conventions.
functional_zone,Functional zone membership,project_place,Occupancy and places,facet,architect;mechanical_engineer;safety_auditor;facility_manager,architectural_spaces;mep_trace;egress;building_performance,Which spaces form this department or service zone?,Scope services and assessments,One object membership in a named zone under a purpose,zone_id;member_id;purpose;membership_basis;status,space;equipment,zone;membership;overlap,Departments and service areas overlap beyond a place hierarchy,Use controlled purposes; specialize only when rules differ,medium,frequent,medium,brainstorm,May remove repeated manual grouping; regulated safety zones require stronger rules than generic membership.
service_access,Service access envelope,coordinates_representations,Access and spatial screening,facet,facility_manager;mechanical_trade;electrician;safety_auditor,coordination;asset_handover;safety,Can someone operate or remove this component in the required direction?,Flag access conflicts,One required envelope for an object and operation,object_id;operation;frame_id;envelope_reference;requirement_source;status,equipment;distribution_panel;valve,access;clearance;maintenance,Operational clearance differs from physical shape,Start from supplied requirements; do not infer safe clearance from generic dimensions,high,occasional,medium,brainstorm,Blocked panels and inaccessible valves cause rework; models may lack the clearance shape and its authority.
spatial_candidates,Spatial conflict candidates,coordinates_representations,Access and spatial screening,capability,general_contractor;mechanical_trade;structural_engineer,coordination;safety,Which objects might intersect this work area or clearance?,Narrow precise geometry and human review,One candidate pair or object-region hit for a named test,test_id;subject_id;candidate_id;geometry_basis;tolerance;coverage_status,service_access;service_run;structural_member,spatial;coordination;candidates,Screening is an operation producing bounded results,Use bounds first and exact geometry selectively,high,frequent,large,brainstorm,Expected broad coordination value at scale; approximate overlap must never become a confirmed clash.
door,Door,building_fabric,Openings and circulation,record,door_supplier;architect;facility_manager;safety_auditor,door_audit;egress;asset_handover,Does this door configuration meet the intended opening function?,Prepare schedules and audit evidence,One door occurrence with explicit leaf or assembly scope,object_id;mark;opening_id;clear_width;operation;fire_rating,space;wall;installation_observation,door;opening;delivery;egress,Operation and clear opening recur in practical tasks,Keep hardware linked; settle leaf versus assembly counting,medium,frequent,medium,workflow_scenario,"The current door_schedule already answers the worked width/rating audit. Additional value concerns operation, opening scope and space relationships; these need new examples."
window,Window,building_fabric,Openings and circulation,record,facade_trade;architect;performance_analyst,envelope;building_performance;estimating,Which glazed openings share size and performance requirements?,Package glazing and review envelope inputs,One window unit at an explicit unit or assembly scope,object_id;mark;opening_id;width;height;glazing_specification;thermal_transmittance,wall;assembly_specification,window;glazing;envelope,Glazed openings have recurring dimensions and performance fields,Use roles for operability; evaluate curtain-wall panel grain separately,high,frequent,medium,brainstorm,Expected glazing schedule value; current envelope workflow provides only a broad requirement.
wall,Wall,building_fabric,Enclosure and separation,record,architect;partition_trade;finishing_trade;structural_engineer,finish_schedule;envelope;structural_takeoff;coordination,Which walls separate this area and what construction is intended?,Coordinate partitions and measurable faces,One wall occurrence with identifiable faces and assembly,object_id;assembly_id;thickness;height;load_bearing_status;exterior_status,space;finish_surface;door;window;penetration,wall;partition;enclosure,Host identity connects construction to separate room-facing surfaces,Keep finishes on surfaces; do not assign one universal room to a wall,high,frequent,medium,workflow_scenario,The finish scenario proves two faces of one wall must remain distinct; broader wall fields need validation.
floor,Floor construction,building_fabric,Enclosure and separation,record,architect;flooring_trade;structural_engineer;estimator,flooring;structural_takeoff;estimating,Which floor construction and finishes are in scope?,Separate structural and finish quantities,One floor construction occurrence at a declared scope,object_id;assembly_id;storey_id;elevation;thickness;net_area,storey;finish_surface;structural_member,floor;slab;quantity,Construction and finish installation have different quantities and ownership,Use a structural-role facet rather than duplicate slab identity,high,frequent,medium,brainstorm,May reduce slab-versus-finish double counting; the flooring workflow has not settled construction boundaries.
