GlobalId,Name,Level,operational_carbon,energy_intensity,category
2OrWItJ6zAwBNp0OUxK_l8,M_W-Wide Flange:W310X60:W310X60:207325,Level 1,139.5,27.7,Other
2OrWItJ6zAwBNp0OUxK$8W,M_W-Wide Flange:W410X60:W410X60:208949,Level 1,59.5,25.9,Other
2OrWItJ6zAwBNp0OUxK$Bq,M_W-Wide Flange:W410X60:W410X60:209121,Level 2,95.1,29.3,Other
2OrWItJ6zAwBNp0OUxK$CR,M_W-Wide Flange:W410X60:W410X60:209166,Level 2,65.1,36.0,Other
2OrWItJ6zAwBNp0OUxK$Dv,M_W-Wide Flange:W310X60:W310X60:209260,Level 1,102.8,16.3,Other
2OrWItJ6zAwBNp0OUxK$Du,M_W-Wide Flange:W410X60:W410X60:209261,Level 1,101.7,40.3,Other
2OrWItJ6zAwBNp0OUxK$Dx,M_W-Wide Flange:W410X60:W410X60:209262,Level 2,104.0,30.4,Other
2OrWItJ6zAwBNp0OUxK$Dw,M_W-Wide Flange:W410X60:W410X60:209263,Level 2,103.9,23.3,Other
3bXiCStxP6Fgxdej$yc5T8,Compound Ceiling:Gypsum Board:187149,Level 1,30.1,28.1,Finish
3bXiCStxP6Fgxdej$yc503,Compound Ceiling:Gypsum Board:187462,Level 1,80.0,27.7,Finish
3bXiCStxP6Fgxdej$yc50B,Compound Ceiling:Gypsum Board:187470,Level 1,95.5,28.8,Finish
3bXiCStxP6Fgxdej$yc50U,Compound Ceiling:Gypsum Board:187483,Level 1,114.4,31.0,Finish
3bXiCStxP6Fgxdej$yc50n,Compound Ceiling:Gypsum Board:187508,Level 1,48.9,24.2,Finish
3bXiCStxP6Fgxdej$yc52o,Compound Ceiling:Gypsum Board:187639,Level 2,51.2,19.3,Finish
3bXiCStxP6Fgxdej$yc554,Compound Ceiling:Gypsum Board:187649,Level 2,86.6,17.7,Finish
3bXiCStxP6Fgxdej$yc55E,Compound Ceiling:Gypsum Board:187659,Level 2,103.3,32.9,Finish
3bXiCStxP6Fgxdej$yc55M,Compound Ceiling:Gypsum Board:187667,Level 2,111.1,36.0,Finish
3bXiCStxP6Fgxdej$yc55U,Compound Ceiling:Gypsum Board:187675,Level 2,119.9,40.0,Finish
3bXiCStxP6Fgxdej$yc55c,Compound Ceiling:Gypsum Board:187683,Level 2,42.3,34.2,Finish
3bXiCStxP6Fgxdej$yc55k,Compound Ceiling:Gypsum Board:187691,Level 2,50.1,38.3,Finish
3bXiCStxP6Fgxdej$yc55m,Compound Ceiling:Gypsum Board:187701,Level 2,52.3,26.3,Finish
1hOSvn6df7F8_7GcBWlRGQ,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146596,Level 1,59.5,25.9,Other
1hOSvn6df7F8_7GcBWlRH8,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146678,Level 1,146.1,43.7,Other
1hOSvn6df7F8_7GcBWlS8Z,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150173,Level 1,54.0,21.9,Other
