table_id,domain_id,primary
snapshots,identity_source_history,true
objects,identity_source_history,true
source_records,identity_source_history,true
source_links,identity_source_history,true
object_states,project_place,true
coordinate_frames,coordinates_representations,true
representations,coordinates_representations,true
relationships,systems_equipment,true
property_observations,flexible_evidence,true
quantity_observations,materials_measurement,true
material_contributions,materials_measurement,true
reference_sets,flexible_evidence,true
work_packages,commercial_delivery,true
assessments,environment_assessment,true
component_schedule,building_fabric,true
door_schedule,building_fabric,true
roof_takeoff,building_fabric,true
finish_schedule,interiors_landscape,true
estimate_lines,commercial_delivery,true
impact_lines,environment_assessment,true
asset_register,operations_performance,true
spatial_bounds,coordinates_representations,true
quantity_scopes,materials_measurement,true
object_states,building_fabric,false
object_states,structure_civil,false
object_states,interiors_landscape,false
object_states,systems_equipment,false
object_states,materials_measurement,false
relationships,project_place,false
relationships,building_fabric,false
relationships,structure_civil,false
relationships,materials_measurement,false
source_links,flexible_evidence,false
representations,structure_civil,false
component_schedule,structure_civil,false
component_schedule,interiors_landscape,false
component_schedule,systems_equipment,false
material_contributions,structure_civil,false
material_contributions,interiors_landscape,false
material_contributions,environment_assessment,false
reference_sets,commercial_delivery,false
reference_sets,operations_performance,false
reference_sets,environment_assessment,false
assessments,operations_performance,false
finish_schedule,building_fabric,false
finish_schedule,project_place,false
quantity_scopes,interiors_landscape,false
asset_register,systems_equipment,false
asset_register,interiors_landscape,false
object_states,identity_source_history,false
objects,project_place,false
object_states,coordinates_representations,false
objects,materials_measurement,false
relationships,flexible_evidence,false
quantity_observations,flexible_evidence,false
