entityId,psetName,paramName,valueType,paramValue
3797,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,615.5
3797,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,689.4
3797,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
3797,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
3797,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,372.0
3797,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
3797,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
3797,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
3797,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,83.6
3797,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
3797,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
3999,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,690.0
3999,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,772.8
3999,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
3999,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
3999,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,332.0
3999,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
3999,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
3999,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
3999,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,79.2
3999,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
3999,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4043,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,887.5
4043,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,994.0
4043,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4043,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4043,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,310.8
4043,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4043,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4043,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4043,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,63.9
4043,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4043,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4087,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,1037.8
4087,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,1162.3
4087,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4087,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4087,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,368.6
4087,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4087,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4087,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4087,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,55.5
4087,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4087,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4131,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,768.3
4131,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,860.5
4131,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4131,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4131,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,354.2
4131,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4131,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4131,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4131,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,49.4
4131,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4131,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4219,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,664.2
4219,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,743.9
4219,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4219,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4219,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,360.8
4219,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4219,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4219,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4219,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,45.4
4219,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4219,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4287,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,694.1
4287,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,777.4
4287,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4287,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4287,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,328.6
4287,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4287,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4287,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4287,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,51.1
4287,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
