table_id,record_name
snapshots,Snapshot
objects,BimObject
source_records,SourceRecord
source_links,SourceLink
object_states,ObjectState
coordinate_frames,CoordinateFrame
representations,Representation
relationships,Relationship
property_observations,PropertyObservation
quantity_observations,QuantityObservation
material_contributions,MaterialContribution
reference_sets,ReferenceSet
work_packages,WorkPackage
assessments,Assessment
component_schedule,ComponentSchedule
door_schedule,DoorSchedule
roof_takeoff,RoofTakeoff
finish_schedule,FinishSchedule
estimate_lines,EstimateLine
impact_lines,ImpactLine
asset_register,AssetRegister
spatial_bounds,SpatialBounds
quantity_scopes,QuantityScope
