GlobalId,Category,cost
1XeopoEmL4fQChMRbpTc6E,IFCWALL,172.48
1JkTQRyTnFCQL6sCZc4wKq,IFCCOVERING,2917.69
2jRUK7Mkb6Ue8A9OvpTG3P,IFCLIGHTFIXTURE,210
0yWZ5pCYf0h8ACXcZFmk$l,IFCBUILDINGELEMENTPROXY,59.77
2Wk83bCBP5xxmQhRC_$kU7,IFCCOVERING,231.98
2Wk83bCBP5xxmQhRC_$kX0,IFCCOVERING,134.19
2Wk83bCBP5xxmQhRC_$kcq,IFCLIGHTFIXTURE,210
29L_DeI4f1hfP6ODuq8duN,IFCLIGHTFIXTURE,210
1ynIJTp3j41BnCd95bH_G0,IFCLIGHTFIXTURE,210
1ynIJTp3j41BnCd95bH$$m,IFCLIGHTFIXTURE,210
1ynIJTp3j41BnCd95bH$xN,IFCLIGHTFIXTURE,210
06fTk68cnA6vD9GRSabpMr,IFCLIGHTFIXTURE,210
2iprjJO5DFPPFZufOJpobC,IFCCOVERING,12.41
3b_GinbYTDwALWT66s67$8,IFCWALL,2.22
3b_GinbYTDwALWT66s67I9,IFCWALL,2.22
2Fie0ty599fxnsmWh4VkcF,IFCMEMBER,16.96
2Dmljw8uHCLBZQQu9H5f2k,IFCMEMBER,52.86
2Dmljw8uHCLBZQQu9H5f3P,IFCMEMBER,33.04
2Dmljw8uHCLBZQQu9H5f2j,IFCCURTAINWALL,5995.57
2Dmljw8uHCLBZQQu9H5f3B,IFCMEMBER,10.63
2Dmljw8uHCLBZQQu9H5f3k,IFCMEMBER,38.74
2Dmljw8uHCLBZQQu9H5f3u,IFCPLATE,23.16
2Dmljw8uHCLBZQQu9H5f0J,IFCPLATE,176.95
2Dmljw8uHCLBZQQu9H5f85,IFCPLATE,13.34
2Dmljw8uHCLBZQQu9H5fBe,IFCMEMBER,34.03
2Dmljw8uHCLBZQQu9H5f8A,IFCMEMBER,18.04
2Dmljw8uHCLBZQQu9H5f8y,IFCMEMBER,31.9
2Dmljw8uHCLBZQQu9H5fB5,IFCCURTAINWALL,1415.56
2Dmljw8uHCLBZQQu9H5fBl,IFCPLATE,146.26
2Dmljw8uHCLBZQQu9H5f9D,IFCMEMBER,6.08
2Dmljw8uHCLBZQQu9H5f9p,IFCMEMBER,232.04
2Dmljw8uHCLBZQQu9H5f9o,IFCMEMBER,36.08
2Dmljw8uHCLBZQQu9H5f9Z,IFCMEMBER,31.9
2Dmljw8uHCLBZQQu9H5f92,IFCCURTAINWALL,300.17
2Dmljw8uHCLBZQQu9H5f9K,IFCMEMBER,33.04
2Dmljw8uHCLBZQQu9H5fMG,IFCPLATE,117.09
2Dmljw8uHCLBZQQu9H5fMl,IFCPLATE,159.31
2Dmljw8uHCLBZQQu9H5fM3,IFCMEMBER,50.89
2Dmljw8uHCLBZQQu9H5fMy,IFCMEMBER,56.21
2Dmljw8uHCLBZQQu9H5fNx,IFCMEMBER,54.69
