GlobalId,EntityId,IfcType,Name,Storey,StoreyEntityId,Category,EmbodiedCarbon_A1A3_kgCO2e,EmbodiedCarbon_A1A5_kgCO2e,OperationalCarbon_kgCO2e_per_year,EnergyUseIntensity_kWh_per_m2_year,ScenarioName,AnalysisRunId
2O2Fr$t4X7Zf8NOew3FNtn,3797,IFCWALLSTANDARDCASE,Basic Wall:Exterior - Brick on Block:138062,Level 1,39,Wall,615.5,689.4,372.0,83.6,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FNqI,3999,IFCWALLSTANDARDCASE,Basic Wall:Exterior - Brick on Block:138157,Level 1,39,Wall,690.0,772.8,332.0,79.2,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FNr2,4043,IFCWALLSTANDARDCASE,Basic Wall:Exterior - Brick on Block:138237,Level 1,39,Wall,887.5,994.0,310.8,63.9,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FNhv,4087,IFCWALLSTANDARDCASE,Basic Wall:Exterior - Brick on Block:138310,Level 1,39,Wall,1037.8,1162.3,368.6,55.5,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FNld,4131,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):138584,Level 1,39,Wall,768.3,860.5,354.2,49.4,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FNau,4219,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):139143,Level 1,39,Wall,664.2,743.9,360.8,45.4,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FNbT,4287,IFCWALLSTANDARDCASE,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139234,Level 1,39,Wall,694.1,777.4,328.6,51.1,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FKRi,4399,IFCWALLSTANDARDCASE,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139347,Level 1,39,Wall,741.0,829.9,330.8,65.1,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FKRH,4465,IFCWALLSTANDARDCASE,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139374,Level 1,39,Wall,764.9,856.7,297.5,64.8,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FKST,4508,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):139682,Level 1,39,Wall,874.4,979.3,310.8,63.9,Baseline,run-2026-09-17-01
